wand_ids;layer;postion[mm];diameters[mm];class;pore_ids_ct;sphericity;volume [mm3]
fit12;1;0.09013366700000347;0.341915965;oel;1471;0.62;0.010281121
fit12;1;0.312820434999999;0.262490094;oel;1458;0.6;0.003726956
fit12;1;0.9305496220000009;0.289895892;oel;1466;0.63;0.005911394
fit12;1;1.2157707209999984;0.214100599;oel;2973;0.66;0.002313417
fit12;1;1.3868789670000012;0.233853996;oel;2948;0.63;0.003726803
fit12;1;1.7823066710000006;0.455848724;oel;1384;0.62;0.0290436
fit12;1;2.302837371999999;0.279549152;oel;1227;0.63;0.005526234
fit12;1;3.0165214539999994;0.33439824;oel;1508;0.57;0.007967921
fit12;1;3.4017906190000033;0.299553186;oel;2633;0.5;0.002698892
fit12;1;4.111740112;0.360378057;oel;2841;0.57;0.007067836
fit12;1;7.917797088999997;0.24103038;oel;49;0.59;0.002056079
fit12;1;8.564308167;0.319158494;oel;380;0.59;0.004626499
fit12;1;8.727844238000003;0.231251329;oel;3954;0.67;0.003212872
fit12;1;9.757575989000003;0.220645607;oel;3498;0.57;0.002056092
fit12;1;11.540882111000002;0.297485322;oel;200;0.65;0.007710299
fit12;1;12.273414612000003;0.214117676;oel;188;0.66;0.002698657
fit12;1;13.497005463;0.193814009;oel;2640;0.64;0.002056223
fit12;1;14.360721587999997;0.231259659;oel;2637;0.67;0.002955593
fit12;1;14.71836853;0.225679576;oel;1331;0.64;0.002184891
fit12;1;22.292678832999997;0.454162598;oel;985;0.5;0.0044978
fit12;1;25.092746735;0.271756113;oel;1588;0.61;0.00308411
fit12;1;36.487449646;0.264936179;oel;1172;0.64;0.005140462
fit12;1;39.140609741;0.454957008;oel;2147;0.55;0.013236606
fit12;1;39.428949356000004;0.214102387;oel;2145;0.64;0.002441728
fit12;1;39.471845627;0.387621462;oel;2469;0.65;0.01387939
fit12;1;39.854892731;0.610460281;oel;1925;0.46;0.020690097
fit12;1;40.160549164;0.491729051;oel;2133;0.49;0.012594118
fit12;1;40.193580627;0.356835037;oel;3005;0.59;0.006168529
fit12;1;40.283815384;0.220646724;oel;3041;0.63;0.002698758
fit12;1;40.29094696;0.342265815;oel;2063;0.53;0.003983888
fit12;1;40.36450386;0.262217879;oel;2199;0.58;0.002698758
fit12;1;40.465457916;0.258052111;oel;2873;0.62;0.003341286
fit12;1;40.713344574000004;0.424208939;oel;2025;0.57;0.007967719
fit12;1;40.747470856;0.26296252;oel;2925;0.54;0.00231326
fit12;1;40.873561859;0.46815002;oel;2749;0.51;0.010409252
fit12;1;41.002593994;0.607058287;oel;2069;0.5;0.025959352
fit12;1;41.017303467000005;0.220646724;oel;2295;0.64;0.002441715
fit12;1;41.359304428;0.298547953;oel;1971;0.57;0.002570271
fit12;1;41.3965168;0.233575508;oel;2784;0.64;0.003469731
fit12;1;41.424932479999995;0.28989324;oel;2090;0.64;0.00257026
fit12;1;41.476102829;0.208068684;oel;2217;0.64;0.002056186
fit12;1;41.917575836;0.231254235;oel;2446;0.65;0.002955754
fit12;1;42.014486313;0.214101225;oel;2753;0.68;0.00269873
fit12;1;42.504440308;0.234059989;oel;3122;0.67;0.002184683
fit12;1;43.001523972;0.283957958;oel;3250;0.63;0.007196654
fit12;1;47.528430939;0.231250495;oel;2246;0.66;0.00346976
fit12;1;48.04916954;0.398965895;oel;2286;0.58;0.008738861
fit12;1;48.665787697;0.282075226;oel;1289;0.66;0.005397427
fit12;1;48.679356575;0.257315278;oel;1339;0.72;0.006296972
fit12;1;49.154933929;0.19464612;oel;1340;0.7;0.002184689
fit12;1;49.777331352;0.23357287;oel;1336;0.66;0.003598259
fit12;1;49.906247139;0.482040346;oel;1312;0.65;0.03611166
fit12;1;59.642780602;0.2816948;oel;3852;0.67;0.005525951
fit12;1;62.430315733;0.257320225;oel;1563;0.7;0.005011993
fit12;1;62.892090797;0.337389857;oel;1490;0.6;0.006811135
fit12;1;63.497025013;0.231256738;oel;203;0.68;0.0026987
fit12;1;65.365054131;0.262217134;oel;721;0.63;0.002827173
fit12;1;66.506596088;0.311080217;oel;2429;0.51;0.002570299
fit12;1;68.3562603;0.453878075;oel;2572;0.42;0.012594176
fit12;1;68.473192215;0.46250847;oel;2170;0.54;0.008353316
fit12;1;68.744668007;0.282852113;oel;2190;0.63;0.005525881
fit12;1;68.784762383;0.409971654;oel;2684;0.56;0.0047549
fit12;1;68.8016119;0.211496815;oel;2123;0.66;0.002313123
fit12;1;68.917049408;0.313848406;oel;2444;0.63;0.00591151
fit12;1;69.001167297;0.21409969;oel;2236;0.63;0.00269866
fit12;1;69.241150856;0.435612053;oel;2375;0.55;0.008867425
fit12;1;69.570543289;0.31916213;oel;2094;0.63;0.005525907
fit12;1;70.001671791;0.311080843;oel;3827;0.61;0.003983893
fit12;1;70.152070999;0.219378218;oel;3616;0.67;0.002955883
fit12;1;70.335107803;0.247633502;oel;3605;0.61;0.00398375
fit12;1;70.767175674;0.311141521;oel;3650;0.67;0.009766837
fit12;1;70.793172836;0.41918543;oel;3641;0.64;0.02313216
fit12;1;70.84946441700001;0.254828721;oel;3610;0.67;0.004240796
fit12;1;71.079967499;0.594553053;oel;3623;0.53;0.020433385
fit12;1;71.349414825;0.244895697;oel;2087;0.66;0.004112363
fit12;1;71.96164512600001;0.244418725;oel;2124;0.62;0.003598253
fit12;1;74.29418087;0.489925295;oel;3312;0.53;0.010537981
fit12;1;79.257360458;0.323977351;oel;1587;0.64;0.006039977
fit12;1;122.10217666599999;0.570796609;oel;2478;0.67;0.065155216
fit12;1;139.859207153;0.53643775;oel;3979;0.46;0.004626404
fit12;1;139.962425232;0.191764832;oel;4015;0.73;0.002184671
fit12;2;0.2122268680000161;0.214100599;oel;4027;0.64;0.002441724
fit12;2;0.2542495729999814;0.236225143;oel;4054;0.65;0.003855363
fit12;2;0.3997802730000046;0.295718193;oel;448;0.64;0.007839225
fit12;2;0.5245513920000064;0.23300983;oel;452;0.72;0.003598269
fit12;2;0.6815490719999957;0.247220516;oel;4039;0.67;0.003212802
fit12;2;0.757270812999991;0.482311219;oel;462;0.63;0.018248588
fit12;2;1.4707641599999874;0.369181305;oel;2985;0.53;0.003212811
fit12;2;1.5405426030000058;0.23254928;oel;3158;0.71;0.003341333
fit12;2;1.7420730590000062;0.208067298;oel;2983;0.67;0.002056182
fit12;2;2.246574401999993;0.214101046;oel;3188;0.61;0.002570213
fit12;2;9.264602660999998;0.305250257;oel;2623;0.7;0.008353204
fit12;2;10.456405640000014;0.199061662;oel;2628;0.69;0.002313216
fit12;2;11.121513367000006;0.214101046;oel;3532;0.66;0.002570222
fit12;2;12.534011840999995;0.201858521;oel;505;0.67;0.002184647
fit12;2;13.028152465999995;0.214101493;oel;558;0.64;0.003598315
fit12;2;13.740821838000002;0.276401281;oel;576;0.64;0.004883513
fit12;2;14.203788756999998;0.276401281;oel;3379;0.59;0.002955792
fit12;2;14.367156981999997;0.259826928;oel;3347;0.61;0.002441728
fit12;2;14.422157287999994;0.33707431;oel;3427;0.61;0.010666375
fit12;2;14.653320312000005;0.534132004;oel;3371;0.45;0.011052012
fit12;2;14.805442810000002;0.249107718;oel;3384;0.69;0.004240904
fit12;2;15.030288696;0.334737599;oel;3412;0.57;0.004754963
fit12;2;15.237792968999997;0.522681296;oel;3372;0.43;0.008096192
fit12;2;15.700119018999999;0.262218237;oel;3662;0.61;0.002955778
fit12;2;15.976394653;0.281200945;oel;3682;0.6;0.003726874
fit12;2;15.977493285999998;0.367382288;oel;3507;0.62;0.0075822
fit12;2;16.032489776999995;0.262490004;oel;3705;0.61;0.002570264
fit12;2;17.797889709000003;0.311079293;oel;2451;0.55;0.002313197
fit12;2;19.315399170000006;0.191766515;oel;1159;0.67;0.002056178
fit12;2;19.963817596;0.28162691;oel;1146;0.65;0.005911497
fit12;2;20.290405273000005;0.302925289;oel;2521;0.64;0.008096201
fit12;2;20.58915329;0.380995065;oel;2574;0.6;0.005397482
fit12;2;21.061023712000008;0.507155478;oel;2564;0.52;0.006554054
fit12;2;21.616622925;0.236748815;oel;2601;0.69;0.003084322
fit12;2;21.765430449999997;0.252521843;oel;2563;0.66;0.005140352
fit12;2;22.27484130900001;0.398637027;oel;3924;0.59;0.015292889
fit12;2;22.900634765999996;0.475049078;oel;3934;0.64;0.027758587
fit12;2;23.09127807600001;0.246658117;oel;3912;0.65;0.004369427
fit12;2;23.879646301000008;0.318952233;oel;2650;0.66;0.007839206
fit12;2;23.924694060999997;0.657966852;oel;2605;0.52;0.019790778
fit12;2;24.202278137000008;0.278987706;oel;2652;0.66;0.005397567
fit12;2;24.667964935;0.593171179;oel;2617;0.5;0.01375076
fit12;2;24.74217224099999;0.281741202;oel;2646;0.66;0.005911611
fit12;2;25.059242248999993;0.294945061;oel;2629;0.66;0.007967618
fit12;2;25.074188231999997;0.247429356;oel;1577;0.66;0.004626437
fit12;2;25.396236420000008;0.584162593;oel;1664;0.55;0.023646079
fit12;2;27.092582703000005;0.287051111;oel;1859;0.67;0.006425542
